owner,pet_name,category,age
rpinkerton8,Long-billed cockatoo,Terrapin,3
mcregin9,"Whale, killer",Bird,5
mgreenhow4,American bison,Cat,0
jhugnina,Black curlew,Rabbit,8
dviccars0,Eastern boa constrictor,Rabbit,0
rpinkerton8,Eastern indigo snake,Mice,7
jhugnina,Asian red fox,Terrapin,9
rpinkerton8,"Crow, house",Guinea Pig,1
sgiacomozzoi,Blue catfish,Cat,4
astather2,"Constrictor, eastern boa",Dog,4
astather2,Common wolf,Cat,2
rlongmuire,Verreaux's sifaka,Bird,6
bcraufurd5,Curve-billed thrasher,Hamster,4
dradbondb,"Lizard, giant girdled",Guinea Pig,1
caisman6,"Dove, galapagos",Dog,0
nkilloughf,"Godwit, hudsonian",Terrapin,2
asconesh,Yellow-headed caracara,Bird,10
imichelottij,Tarantula,Fish,2
sgiacomozzoi,"Cormorant, neotropic",Terrapin,2
asconesh,"Bulbul, african red-eyed",Bird,6
